"","unListNoticia","Freq"
"1","					trabajadores",1
"2","(ajunji,",1
"3","<U+0093>atenta",1
"4","<U+0093>experimento",1
"5","<U+0093>se",1
"6","<U+0093>significa",1
"7","18",1
"8","2",1
"9","4",1
"10","500.000",1
"11","a",7
"12","adelantando",1
"13","adelantó",1
"14","advertencia",2
"15","advirtieron,",1
"16","afectaría",1
"17","años.",1
"18","aseguran,",1
"19","atender",1
"20","avances",1
"21","calidad",1
"22","calidad<U+0094>.				",1
"23","calificaron",1
"24","cámara",1
"25","camusett,",1
"26","capacidades",1
"27","cerca",1
"28","comisión",1
"29","como",2
"30","con",1
"31","congreso",1
"32","contra",1
"33","de",21
"34","defensa",1
"35","del",1
"36","diputados",1
"37","educación",6
"38","el",4
"39","en",5
"40","encuentra",1
"41","escolarización",1
"42","èsta,",1
"43","establecer",1
"44","este",2
"45","exigen",1
"46","funciona",1
"47","grandes",1
"48","gratuita",1
"49","grave",1
"50","hemos",1
"51","instando",1
"52","integra,",1
"53","integra.					los",1
"54","jessica",1
"55","jueguen",1
"56","junio",1
"57","la",10
"58","las",2
"59","legisladores",1
"60","ley",1
"61","llaman",1
"62","llamaron",1
"63","llevarlos",1
"64","lo",1
"65","los",5
"66","martes",1
"67","martes					para",1
"68","más",1
"69","medios",1
"70","medios,",1
"71","movimiento",1
"72","mundo",1
"73","nacional",3
"74","nacional.					se",1
"75","niñas",1
"76","niñas,",1
"77","niños",2
"78","niveles",2
"79","no",2
"80","nuestros",1
"81","organizaciones",1
"82","país",1
"83","para",6
"84","paro",3
"85","parvularia",3
"86","parvularia,",1
"87","parvularia<U+0094>,",1
"88","párvulos",1
"89","pequeños<U+0094>.					esto,",1
"90","poniendo",1
"91","por",1
"92","presidenta",1
"93","pretende",1
"94","proyecto",2
"95","pública,",1
"96","que",8
"97","realizado",1
"98","realizar",1
"99","rechace",1
"100","rechazar",1
"101","requerimientos<U+0094>.",1
"102","riesgo",1
"103","se",4
"104","según",1
"105","sindicales",1
"106","sindicato",1
"107","sindicatos",2
"108","sistema",2
"109","subvención",2
"110","subvencionado",1
"111","sus",1
"112","tiene",1
"113","trabajadores",2
"114","tramita",1
"115","trata",1
"116","un",4
"117","único",1
"118","vtf",1
"119","vtf)",1
"120","y",5
